arxiv_id,title,published_date,pdf_url,github_repo,license,commit_hash,relation_type,is_primary,code_blocks,source_note
1506.02640,"You Only Look Once: Unified, Real-Time Object Detection",2015-06-08,https://arxiv.org/pdf/1506.02640,pjreddie/darknet,YOLO LICENSE v2 (public-domain style),f6afaabcdf85f77e7aff2ec55c020c0e297c77f9,OFFICIAL,Y,14,YOLO 3b30f4e8fef7808bb2a4e4838257a03c.md
1512.03385,Deep Residual Learning for Image Recognition,2015-12-10,https://arxiv.org/pdf/1512.03385,KaimingHe/deep-residual-networks,MIT,a7026cb6d478e131b765b898c312e25f9f6dc031,OFFICIAL,Y,14,ResNet 3b30f4e8fef780cfb26ddc25fa667753.md
1512.03385,Deep Residual Learning for Image Recognition,2015-12-10,https://arxiv.org/pdf/1512.03385,pytorch/vision,BSD-3-Clause,0fba2e84fe255a2fcd81bd0b10c74d7fca99a89f,COMMUNITY,N,8,ResNet 3b30f4e8fef780cfb26ddc25fa667753.md
1706.03762,Attention Is All You Need,2017-06-12,https://arxiv.org/pdf/1706.03762,jadore801120/attention-is-all-you-need-pytorch,MIT,132907dd272e2cc92e3c10e6c4e783a87ff8893d,COMMUNITY,Y,33,/Users/ungsik/Downloads/Attention is All You Need 3b30f4e8fef78046bd59ef71457d418f.md
1810.04805,BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding,2018-10-11,https://arxiv.org/pdf/1810.04805,google-research/bert,Apache-2.0,eedf5716ce1268e56f0a50264a88cafad334ac61,OFFICIAL,Y,18,BERT 3b30f4e8fef7809a99f9c6a0187acada.md
2010.11929,An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale,2020-10-22,https://arxiv.org/pdf/2010.11929,google-research/vision_transformer,Apache-2.0,64801f1b3b367b3611cc27a3d45cc22870a36fb3,OFFICIAL,Y,10,Vision Transform 3b30f4e8fef780aeb94ada615f1ce800.md
2010.11929,An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale,2020-10-22,https://arxiv.org/pdf/2010.11929,lucidrains/vit-pytorch,MIT,bb13e27ee5b30ddd3e09c2e23c30ec2c17683d35,COMMUNITY,N,6,Vision Transform 3b30f4e8fef780aeb94ada615f1ce800.md
2103.00020,Learning Transferable Visual Models From Natural Language Supervision,2021-02-26,https://arxiv.org/pdf/2103.00020,mlfoundations/open_clip,MIT,602d4af74f86df6f2ff81ba0f0a847b0b70ad2e5,REFERENCE,N,4,CLIP 3b40f4e8fef780d08580e6f407e64884.md
2103.00020,Learning Transferable Visual Models From Natural Language Supervision,2021-02-26,https://arxiv.org/pdf/2103.00020,openai/CLIP,MIT,d05afc436d78f1c48dc0dbf8e5980a9d471f35f6,OFFICIAL,Y,13,CLIP 3b40f4e8fef780d08580e6f407e64884.md
2112.10752,High-Resolution Image Synthesis with Latent Diffusion Models,2021-12-20,https://arxiv.org/pdf/2112.10752,CompVis/latent-diffusion,MIT,a506df5756472e2ebaf9078affdde2c4f1502cd4,OFFICIAL,Y,18,Stable Diffusion 3b40f4e8fef7808ea45afff64bd0d5b1.md
2304.02643,Segment Anything,2023-04-05,https://arxiv.org/pdf/2304.02643,facebookresearch/segment-anything,Apache-2.0,dca509fe793f601edb92606367a655c15ac00fdf,OFFICIAL,Y,16,Segment anything 3b40f4e8fef7802c8537e471401bc0ff.md
2407.21783,The Llama 3 Herd of Models,2024-07-31,https://arxiv.org/pdf/2407.21783,meta-llama/llama3,Meta Llama 3 Community License,a0940f9cf7065d45bb6675660f80d305c041a754,OFFICIAL,Y,10,Llama 3b40f4e8fef780118c14daf691878da5.md
